title,content
"The Retrospect: Cwm Elan, 1812","                        A scene, which 'wildered fancy viewedIn the soul's coldest solitude,With that same scene when peaceful loveFlings rapture's colour o'er the grove,When mountain, meadow, wood and stream With unalloying glory gleam,And to the spirit's ear and eyeAre unison and harmony.The moonlight was my dearer day;Then would I wander far away, And, lingering on the wild brook's shoreTo hear its unremitting roar,Would lose in the ideal flowAll sense of overwhelming woe;Or at the noiseless noon of nightWould climb some heathy mountain's height,And listen to the mystic soundThat stole in fitful gasps around.I joyed to see the streaks of dayAbove the purple peaks decay, And watch the latest line of lightJust mingling with the shades of night;For day with me was time of woeWhen even tears refused to flow;Then would I stretch my languid frame Beneath the wild woods' gloomiest shade,And try to quench the ceaseless flameThat on my withered vitals preyed;Would close mine eyes and dream I wereOn some remote and friendless plain, And long to leave existence there,If with it I might leave the painThat with a finger cold and leanWrote madness on my withering mien.It was not unrequited loveThat bade my ‘wildered spirit rove;'Twas not the pride disdaining life,That with this mortal world at strifeWould yield to the soul's inward sense,Then groan in human impotence,And weep because it is not givenTo taste on Earth the peace of Heaven.'Twas not that in the narrow sphereWhere Nature fixed my wayward fateThere was no friend or kindred dearFormed to become that spirit's mate,Which, searching on tired pinion, foundBarren and cold repulse around;Oh, no! yet each one sorrow gaveNew graces to the narrow grave. For broken vows had early quelledThe stainless spirit's vestal flame;Yes! whilst the faithful bosom swelled,Then the envenomed arrow came,And Apathy's unaltering eye Beamed coldness on the misery;And early I had learned to scornThe chains of clay that bound a soulPanting to seize the wings of morn,And where its vital fires were born To soar, and spur the cold controlWhich the vile slaves of earthly nightWould twine around its struggling flight.Oh, many were the friends whom fameHad linked with the unmeaning name, Whose magic marked among mankindThe casket of my unknown mind,Which hidden from the vulgar glareImbibed no fleeting radiance there.My darksome spirit sought--it found A friendless solitude around.For who that might undaunted stand,The saviour of a sinking land,Would crawl, its ruthless tyrant's slave,And fatten upon Freedom's grave, Though doomed with her to perish, whereThe captive clasps abhorred despair.They could not share the bosom's feeling,Which, passion's every throb revealing,Dared force on the world's notice coldThoughts of unprofitable mould,Who bask in Custom's fickle ray,Fit sunshine of such wintry day!They could not in a twilight walkWeave an impassioned web of talk,Till mysteries the spirits pressIn wild yet tender awfulness,Then feel within our narrow sphereHow little yet how great we are!But they might shine in courtly glare,Attract the rabble's cheapest stare,And might command where'er they moveA thing that bears the name of love;They might be learned, witty, gay,Foremost in fashion's gilt array,On Fame's emblazoned pages shine,Be princes' friends, but never mine!Ye jagged peaks that frown sublime,Mocking the blunted scythe of Time,Whence I would watch its lustre pale Steal from the moon o'er yonder valeThou rock, whose bosom black and vast,Bared to the stream's unceasing flow,Ever its giant shade doth castOn the tumultuous surge below: Woods, to whose depths retires to dieThe wounded Echo's melody,And whither this lone spirit bentThe footstep of a wild intent:Meadows! whose green and spangled breastThese fevered limbs have often pressed,Until the watchful fiend DespairSlept in the soothing coolness there!Have not your varied beauties seenThe sunken eye, the withering mien, Sad traces of the unuttered painThat froze my heart and burned my brain.How changed since Nature's summer formHad last the power my grief to charm,Since last ye soothed my spirit's sadness, Strange chaos of a mingled madness!Changed!--not the loathsome worm that fedIn the dark mansions of the dead,Now soaring through the fields of air,And gathering purest nectar there, A butterfly, whose million huesThe dazzled eye of wonder views,Long lingering on a work so strange,Has undergone so bright a change.How do I feel my happiness? I cannot tell, but they may guessWhose every gloomy feeling gone,Friendship and passion feel alone;Who see mortality's dull cloudsBefore affection's murmur fly, Whilst the mild glances of her eyePierce the thin veil of flesh that shroudsThe spirit's inmost sanctuary.O thou! whose virtues latest known,First in this heart yet claim'st a throne; Whose downy sceptre still shall shareThe gentle sway with virtue there;Thou fair in form, and pure in mind,Whose ardent friendship rivets fastThe flowery band our fates that bind, Which incorruptible shall lastWhen duty's hard and cold controlHas thawed around the burning soul,--The gloomiest retrospects that bindWith crowns of thorn the bleeding mind, The prospects of most doubtful hueThat rise on Fancy's shuddering view,--Are gilt by the reviving rayWhich thou hast flung upon my day.                                             "
To Sophia (Miss Stacey),"                        I.Thou art fair, and few are fairerOf the Nymphs of earth or ocean;They are robes that fit the wearer--Those soft limbs of thine, whose motionEver falls and shifts and glances As the life within them dances.II.Thy deep eyes, a double Planet,Gaze the wisest into madnessWith soft clear fire,--the winds that fan itAre those thoughts of tender gladnessWhich, like zephyrs on the billow,Make thy gentle soul their pillow.III.If, whatever face thou paintestIn those eyes, grows pale with pleasure,If the fainting soul is faintest When it hears thy harp’s wild measure,Wonder not that when thou speakestOf the weak my heart is weakest.IV.As dew beneath the wind of morning,As the sea which whirlwinds waken,As the birds at thunder’s warning,As aught mute yet deeply shaken,As one who feels an unseen spiritIs my heart when thine is near it.                                             "
To The Lord Chancellor,"                        I.Thy country's curse is on thee, darkest crestOf that foul, knotted, many-headed wormWhich rends our Mother’s bosom—Priestly Pest!Masked Resurrection of a buried Form!II.Thy country's curse is on thee! Justice sold,Truth trampled, Nature’s landmarks overthrown,And heaps of fraud-accumulated gold,Plead, loud as thunder, at Destruction's throne.III.And whilst that sure slow Angel which aye standsWatching the beck of Mutability Delays to execute her high commands,And, though a nation weeps, spares thine and thee,IV.Oh, let a father's curse be on thy soul,And let a daughter's hope be on thy tomb;Be both, on thy gray head, a leaden cowlTo weigh thee down to thine approaching doom.V.I curse thee by a parent's outraged love,By hopes long cherished and too lately lost,By gentle feelings thou couldst never prove,By griefs which thy stern nature never crossed;VI.By those infantine smiles of happy light,Which were a fire within a stranger's hearth,Quenched even when kindled, in untimely nightHiding the promise of a lovely birth:VII.By those unpractised accents of young speech,Which he who is a father thought to frameTo gentlest lore, such as the wisest teach--THOU strike the lyre of mind!--oh, grief and shame!VIII.By all the happy see in children's growth--That undeveloped flower of budding years--Sweetness and sadness interwoven both,Source of the sweetest hopes and saddest fears--IX.By all the days, under an hireling's care,Of dull constraint and bitter heaviness,--O wretched ye if ever any were,--Sadder than orphans, yet not fatherless!X.By the false cant which on their innocent lipsMust hang like poison on an opening bloom,By the dark creeds which cover with eclipseTheir pathway from the cradle to the tomb--XI.By thy most impious Hell, and all its terror;By all the grief, the madness, and the guiltOf thine impostures, which must be their error--That sand on which thy crumbling power is built--XII.By thy complicity with lust and hate--Thy thirst for tears—thy hunger after gold--The ready frauds which ever on thee wait--The servile arts in which thou hast grown old--XIII.By thy most killing sneer, and by thy smile--By all the arts and snares of thy black den,And—for thou canst outweep the crocodile--By thy false tears—those millstones braining men--XIV.By all the hate which checks a father's love--By all the scorn which kills a fathe's care--By those most impious hands which dared removeNature’s high bounds--by thee--and by despair--XV.Yes, the despair which bids a father groan,And cry, 'My children are no longer mine--The blood within those veins may be mine own,But--Tyrant--their polluted souls are thine;— 60XVI.I curse thee--though I hate thee not.--O slave!If thou couldst quench the earth-consuming HellOf which thou art a daemon, on thy graveThis curse should be a blessing. Fare thee well!                                             "
The Sepulchre Of Memory,"                        And where is truth? On tombs? for such to theeHas been my heart—and thy dead memoryHas lain from childhood, many a changeful year,Unchangingly preserved and buried there.                                             "
To Edward Williams,"                        I.The serpent is shut out from Paradise.The wounded deer must seek the herb no moreIn which its heart-cure lies:The widowed dove must cease to haunt a bowerLike that from which its mate with feigned sighs Fled in the April hour.I too must seldom seek againNear happy friends a mitigated pain.II.Of hatred I am proud,--with scorn content;Indifference, that once hurt me, now is grownItself indifferent;But, not to speak of love, pity aloneCan break a spirit already more than bent.The miserable oneTurns the mind’s poison into food,--Its medicine is tears,--its evil good.III.Therefore, if now I see you seldomer,Dear friends, dear FRIEND! know that I only flyYour looks, because they stirGriefs that should sleep, and hopes that cannot die:The very comfort that they ministerI scarce can bear, yet I,So deeply is the arrow gone,Should quickly perish if it were withdrawn.IV.When I return to my cold home, you ask Why I am not as I have ever been.YOU spoil me for the taskOf acting a forced part in life's dull scene,--Of wearing on my brow the idle maskOf author, great or mean,In the world's carnival. I soughtPeace thus, and but in you I found it not.V.Full half an hour, to-day, I tried my lotWith various flowers, and every one still said,'She loves me--loves me not.'And if this meant a vision long since fled--If it meant fortune, fame, or peace of thought--If it meant,--but I dreadTo speak what you may know too well:Still there was truth in the sad oracle. VI.The crane o'er seas and forests seeks her home;No bird so wild but has its quiet nest,When it no more would roam;The sleepless billows on the ocean’s breastBreak like a bursting heart, and die in foam, And thus at length find rest:Doubtless there is a place of peaceWhere MY weak heart and all its throbs will cease.VII.I asked her, yesterday, if she believedThat I had resolution. One who HAD Would ne’er have thus relievedHis heart with words,—but what his judgement badeWould do, and leave the scorner unrelieved.These verses are too sadTo send to you, but that I know, Happy yourself, you feel another’s woe.                                             "
To Harriet -- It Is Not Blasphemy To Hope That Heaven,"                        It is not blasphemy to hope that HeavenMore perfectly will give those nameless joysWhich throb within the pulses of the bloodAnd sweeten all that bitterness which EarthInfuses in the heaven-born soul. O thou Whose dear love gleamed upon the gloomy pathWhich this lone spirit travelled, drear and cold,Yet swiftly leading to those awful limitsWhich mark the bounds of Time and of the spaceWhen Time shall be no more; wilt thou not turn Those spirit-beaming eyes and look on me,Until I be assured that Earth is Heaven,And Heaven is Earth?--will not thy glowing cheek,Glowing with soft suffusion, rest on mine,And breathe magnetic sweetness through the frame Of my corporeal nature, through the soulNow knit with these fine fibres? I would giveThe longest and the happiest day that fateHas marked on my existence but to feelONE soul-reviving kiss...O thou most dear, 'Tis an assurance that this Earth is Heaven,And Heaven the flower of that untainted seedWhich springeth here beneath such love as ours.Harriet! let death all mortal ties dissolve,But ours shall not be mortal! The cold handOf Time may chill the love of earthly mindsHalf frozen now; the frigid intercourseOf common souls lives but a summer's day;It dies, where it arose, upon this earth.But ours! oh, 'tis the stretch of Fancy's hope To portray its continuance as now,Warm, tranquil, spirit-healing; nor when ageHas tempered these wild ecstasies, and givenA soberer tinge to the luxurious glowWhich blazing on devotion's pinnacle Makes virtuous passion supersede the powerOf reason; nor when life's aestival sunTo deeper manhood shall have ripened me;Nor when some years have added judgement's storeTo all thy woman sweetness, all the fireWhich throbs in thine enthusiast heart; not thenShall holy friendship (for what other nameMay love like ours assume?), not even thenShall Custom so corrupt, or the cold formsOf this desolate world so harden us,As when we think of the dear love that bindsOur souls in soft communion, while we knowEach other's thoughts and feelings, can we sayUnblushingly a heartless compliment,Praise, hate, or love with the unthinking world, Or dare to cut the unrelaxing nerveThat knits our love to virtue. Can those eyes,Beaming with mildest radiance on my heartTo purify its purity, e'er bendTo soothe its vice or consecrate its fears? Never, thou second Self! Is confidenceSo vain in virtue that I learn to doubtThe mirror even of Truth? Dark flood of Time,Roll as it listeth thee; I measure notBy month or moments thy ambiguous course. Another may stand by me on thy brink,And watch the bubble whirled beyond his ken,Which pauses at my feet. The sense of love,The thirst for action, and the impassioned thoughtProlong my being; if I wake no more, My life more actual living will containThan some gray veteran’s of the world's cold school,Whose listless hours unprofitably rollBy one enthusiast feeling unredeemed,Virtue and Love! unbending Fortitude,Freedom, Devotedness and Purity!That life my Spirit consecrates to you.                                             "
from Laon and Cythna; or The Revolution of the Golden City,"                                          To Mary — —                                          1.  So now my summer task is ended, Mary,       And I return to thee, mine own heart's home;   As to his Queen some victor Knight of Faëry,       Earning bright spoils for her inchanted dome;       Nor thou disdain, that ere my fame become   A star among the stars of mortal night,       If it indeed may cleave its natal gloom,   Its doubtful promise thus I would uniteWith thy beloved name, thou Child of love and light.                                         2.   The toil which stole from thee so many an hour       Is ended,—and the fruit is at thy feet!   No longer where the woods to frame a bower       With interlaced branches mix and meet,       Or where with sound like many voices sweet,   Water-falls leap among wild islands green,       Which framed for my lone boat a lone retreat   Of moss-grown trees and weeds, shall I be seen:But beside thee, where still my heart has ever been.                                         3.   Thoughts of great deeds were mine, dear Friend, when first       The clouds which wrap this world from youth did pass.   I do remember well the hour which burst       My spirit's sleep: a fresh May-dawn it was,       When I walked forth upon the glittering grass,   And wept, I knew not why; until there rose       From the near school-room, voices, that, alas!   Were but one echo from a world of woes—The harsh and grating strife of tyrants and of foes.                                         4.   And then I clasped my hands and looked around—       —But none was near to mock my streaming eyes,   Which poured their warm drops on the sunny ground—       So without shame, I spake:—'I will be wise,       And just, and free, and mild, if in me lies   Such power, for I grow weary to behold       The selfish and the strong still tyrannise   Without reproach or check.' I then controuledMy tears, my heart grew calm, and I was meek and bold.                                         5.   And from that hour did I with earnest thought       Heap knowledge from forbidden mines of lore,   Yet nothing that my tyrants knew or taught       I cared to learn, but from that secret store       Wrought linked armour for my soul, before   It might walk forth to war among mankind;       Thus power and hope were strengthened more and more   Within me, till there came upon my mindA sense of loneliness, a thirst with which I pined.                                         6.   Alas, that love should be a blight and snare       To those who seek all sympathies in one!—   Such once I sought in vain; then black despair,       The shadow of a starless night, was thrown       Over the world in which I moved alone:—   Yet never found I one not false to me,       Hard hearts, and cold, like weights of icy stone   Which crushed and withered mine, that could not beAught but a lifeless clog, until revived by thee.                                         7.   Thou Friend, whose presence on my wintry heart       Fell, like bright Spring upon some herbless plain;   How beautiful and calm and free thou wert       In thy young wisdom, when the mortal chain       Of Custom thou didst burst and rend in twain,   And walked as free as light the clouds among,       Which many an envious slave then breathed in vain   From his dim dungeon, and my spirit sprungTo meet thee from the woes which had begirt it long.                                         8.   No more alone through the world's wilderness,       Although I trod the paths of high intent,   I journeyed now: no more companionless,       Where solitude is like despair, I went.—       There is the wisdom of a stern content   When Poverty can blight the just and good,       When Infamy dares mock the innocent,   And cherished friends turn with the multitudeTo trample: this was ours, and we unshaken stood!                                         9.   Now has descended a serener hour,       And with inconstant fortune, friends return;   Though suffering leaves the knowledge and the power       Which says:—Let scorn be not repaid with scorn.       And from thy side two gentle babes are born   To fill our home with smiles, and thus are we      Most fortunate beneath life's beaming morn;   And these delights, and thou, have been to meThe parents of the Song I consecrate to thee.                                         10.   Is it, that now my inexperienced fingers       But strike the prelude of a loftier strain?   Or, must the lyre on which my spirit lingers       Soon pause in silence, ne'er to sound again,       Though it might shake the Anarch Custom's reign,   And charm the minds of men to Truth's own sway       Holier than was Amphion's? I would fain   Reply in hope—but I am worn away,And Death and Love are yet contending for their prey.                                         11.   And what art thou? I know, but dare not speak:       Time may interpret to his silent years.   Yet in the paleness of thy thoughtful cheek,       And in the light thine ample forehead wears,       And in thy sweetest smiles, and in thy tears,  And in thy gentle speech, a prophecy       Is whispered, to subdue my fondest fears:   And through thine eyes, even in thy soul I seeA lamp of vestal fire burning internally.                                         12.   They say that thou wert lovely from thy birth,       Of glorious parents, thou aspiring Child.   I wonder not—for One then left this earth       Whose life was like a setting planet mild       Which clothed thee in the radiance undefiled   Of its departing glory; still her fame       Shines on thee, through the tempests dark and wild   Which shake these latter days; and thou canst claimThe shelter, from thy Sire, of an immortal name.                                         13.   One voice came forth from many a mighty spirit,       Which was the echo of three thousand years;   And the tumultuous world stood mute to hear it,       As some lone man who in a desart hears       The music of his home:—unwonted fears   Fell on the pale oppressors of our race,       And Faith, and Custom, and low-thoughted cares,   Like thunder-stricken dragons, for a spaceLeft the torn human heart, their food and dwelling-place.                                         14.   Truth's deathless voice pauses among mankind!       If there must be no response to my cry—   If men must rise and stamp with fury blind       On his pure name who loves them,—thou and I,       Sweet Friend! can look from our tranquillity   Like lamps into the world's tempestuous night,—       Two tranquil stars, while clouds are passing by   Which wrap them from the foundering seaman's sight,That burn from year to year with unextinguished light.                                             "
To Harriet,"                        Thy look of love has power to calmThe stormiest passion of my soul;Thy gentle words are drops of balmIn life's too bitter bowl;No grief is mine, but that aloneThese choicest blessings I have known.Harriet! if all who long to liveIn the warm sunshine of thine eye,That price beyond all pain must give,-Beneath thy scorn to die;Then hear thy chosen own too lateHis heart most worthy of thy hate.Be thou, then, one among mankindWhose heart is harder not for state,Thou only virtuous, gentle, kind,Amid a world of hate;And by a slight endurance sealA fellow-being's lasting weal.For pale with anguish is his cheek,His breath comes fast, his eyes are dim,Thy name is struggling ere he speak,Weak is each trembling limb;In mercy let him not endureThe misery of a fatal cure.Oh, trust for once no erring guide!Bid the remorseless feeling flee;'Tis malice, 'tis revenge, 'tis pride,'Tis anything but thee;Oh, deign a nobler pride to prove,And pity if thou canst not love.                                             "
Dark Spirit of the Desart Rude,"                        Dark Spirit of the desart rudeThat o'er this awful solitude,Each tangled and untrodden wood,Each dark and silent glen below,Where sunlight's gleamings never glow,Whilst jetty, musical and still,In darkness speeds the mountain rill;That o'er yon broken peaks sublime,Wild shapes that mock the scythe of time,And the pure Ellan's foamy course,			Wavest thy wand of magic force;Art thou yon sooty and fearful fowlThat flaps its wing o'er the leafless oakThat o'er the dismal scene doth scowlAnd mocketh music with its croak?I've sought thee where day's beams decayOn the peak of the lonely hill,I've sought thee where they melt awayBy the wave of the pebbly rill;I've strained to catch thy murky form			Bestride the rapid and gloomy storm;Thy red and sullen eyeball's glareHas shot, in a dream, thro' the midnight airBut never did thy shape expressSuch an emphatic gloominess.And where art thou, O thing of gloom? ...On Nature's unreviving tombWhere sapless, blasted and aloneShe mourns her blooming centuries gone!- From the fresh sod the Violets peep,			The buds have burst their frozen sleep,Whilst every green and peopled treeIs alive with Earth's sweet melody.But thou alone art here,Thou desolate Oak, whose scathed headFor ages has never trembled,Whose giant trunk dead lichens bindMoaningly sighing in the wind,With huge loose rocks beneath thee spread,Thou, Thou alone art here!				Remote from every living thing,Tree, shrub or grass or flower,Thou seemest of this spot the KingAnd with a regal powerSuck like that race all sap awayAnd yet upon the spoil decay.                                             "
The Wandering Jew's Soliloquy,"                        Is it the Eternal Triune, is it HeWho dares arrest the wheels of destinyAnd plunge me in the lowest Hell of Hells?Will not the lightning's blast destroy my frame?Will not steel drink the blood-life where it swells? No—let me hie where dark Destruction dwells,To rouse her from her deeply caverned lair,And, taunting her cursed sluggishness to ire,Light long Oblivion's death-torch at its flameAnd calmly mount Annihilation's pyre. Tyrant of Earth! pale Misery's jackal Thou!Are there no stores of vengeful violent fateWithin the magazines of Thy fierce hate?No poison in the clouds to bathe a browThat lowers on Thee with desperate contempt?Where is the noonday Pestilence that slewThe myriad sons of Israel's favoured nation?Where the destroying Minister that flewPouring the fiery tide of desolationUpon the leagued Assyrian's attempt? Where the dark Earthquake-daemon who engorgedAt the dread word Korah's unconscious crew?Or the Angel's two-edged sword of fire that urgedOur primal parents from their bower of bliss(Reared by Thine hand) for errors not their own By Thine omniscient mind foredoomed, foreknown?Yes! I would court a ruin such as this,Almighty Tyrant! and give thanks to Thee--Drink deeply—drain the cup of hate; remit this--I may die.                                             "
